titre,sous_titre,description,cat,sous_cat,link,link_title,lieu,img,img_alt,date
Mauro LANZA,,"Dans sa musique, très joueuse et souvent malicieuse, Mauro Lanza (1975-) mélange instruments traditionnels, électroacoustique, et tout un éventail d’instruments jouets et de machines étonnantes.",,,./0781558-biographie-mauro-lanza.aspx,,,/ui/skins/MEDIA/images/picto-pages-decouverte-artiste.svg,Culture musicale © Dr,1975-
György LIGETI,,"Travaillant sur le timbre et le rapport au temps, György Ligeti (1923-2006) compose des œuvres complexes et toujours très rigoureusement écrites, où la matière sonore est perpétuellement mouvante.",,,./0044103-biographie-gyorgy-ligeti.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Ligeti-Gyorgy/Portrait-de-Gyorgy-Ligeti-photographie-de-Marcel-Antonisse-1984©National-Archives-of-the-Netherlands-Anefo_LQ.jpg,"Portrait de György Ligeti, photographie de Marcel Antonisse, 1984 © National Archives of the Netherlands / Anefo",1923-2006
Franz LISZT,,"Pianiste virtuose, Franz Liszt (1811-1886) compose des œuvres exigeantes pour son instrument de prédilection avant de se tourner vers l’orchestre, en créant notamment le genre du poème symphonique.",,,./0040912-biographie-franz-liszt.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/liszt-franz/portrait-de-Franz-Liszt-jeune©BnF-Gallica_LQ.jpg,Portrait du compositeur Franz Liszt jeune © RMN / image Compiègne,1811-1886
Jean-Baptiste LULLY,,"Maître dans l’art de la danse, collaborateur de Molière dans les comédies-ballets, Jean-Baptiste Lully (1632-1687) est surtout le créateur de l’opéra français, à savoir la tragédie lyrique.",,,./0042582-biographie-jean-baptiste-lully.aspx,,,https://drop.philharmoniedeparis.fr/CMDP/CMDP000005900/Jean-Baptiste-Lully_Paulus-Mignard©BNF_LQ.jpg,"Portrait du compositeur Jean-Baptiste Lully, secrétaire du Roy et sur-intendant de sa musique / Paulus Mignard © BNF",1632-1687
Gustav MAHLER,,"Chef d’orchestre intransigeant, compositeur de génie incompris de ses contemporains, Gustav Mahler (1860-1911) s’est particulièrement illustré dans la symphonie et le lied avec orchestre.",,,./0051521-gustav-mahler.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Mahler-Gustav/Gustav-Mahler-Moritz-Nahr-1907-onb_350.jpg,"Portrait de Gustav Mahler dans le foyer de l’Opéra de Vienne, photo de Moritz Nähr, 1907. Österreichische Nationalbibliothek",1860-1911
Philippe MANOURY,,"Philippe Manoury (1952-) a composé des œuvres dans tous les genres. À la pointe de la recherche et de l’innovation, il est en prise directe avec son temps et le questionne inlassablement.",,,./0055610-biographie-philippe-manoury.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Manoury-Philippe/Philippe-Manoury©Pauline-de-Mitt_LQ.jpg,Philippe Manoury © Pauline de Mitt,1952-
Bruno MANTOVANI,,"Abordant de multiples genres, Bruno Mantovani (1974-) conjugue hommage aux compositeurs du passé et références aux répertoires populaires, tout en favorisant la rencontre avec les autres arts.",,,./0048780-biographie-bruno-mantovani.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Mantovani-Bruno/Bruno-Mantovani-Philharmonie-de-Paris-26-janvier-2016-©-Cite-de-la-musique-Philharmonie-de-Paris_350.jpg,Portrait de Bruno Mantovani,1974-
Jules MASSENET,,"Jules Massenet (1842-1912) consacre sa carrière de compositeur essentiellement à l’opéra. Également réputé en tant que pédagogue, il compte parmi ses élèves de grands compositeurs français.",,,./0037527-biographie-jules-massenet.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Massenet-Jules/Jules-Massenet-photo-de-Pierre-Petit-1880-Gallica-BnF_350.jpg,Portrait de Jules Massenet © Philharmonie de Paris JM Angles,1842-1912
Étienne-Nicolas MÉHUL,,"Au cœur de la Révolution française, Étienne-Nicolas Méhul (1763-1817) compose des œuvres prônant l’idéologie du gouvernement républicain, mais s’affirme surtout comme un précurseur du romantisme.",,,./0033566-biographie-etienne-nicolas-mehul.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Mehul-Etienne-Nicolas/Portrait-de-Etienne-Nicolas-Mehul-©-Gallica-BnF_350.jpg,Portrait de Étienne-Nicolas Méhul © Gallica-BnF,1763-1817
Felix MENDELSSOHN-BARTHOLDY,,"Pianiste, compositeur, chef d’orchestre, Felix Mendelssohn-Bartholdy (1809-1847) est connu pour le raffinement de ses œuvres, leur poésie, l’originalité et la subtilité de ses couleurs orchestrales.",,,./0038902-biographie-de-felix-mendelssohn-bartholdy.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Mendelssohn-Felix/Felix-Mendelssohn-d-apres-un-tableau-de-Carl-Jager©Gallica-BnF_LQ.jpg,Felix Mendelssohn d’après un tableau de Carl Jäger © Gallica-BnF,1809-1847
André MESSAGER,,"André Messager (1853-1929) compose beaucoup, avec succès, pour le théâtre (ballets, opérettes et opéras). En tant que chef d’orchestre, il travaille à la diffusion de la musique symphonique allemande.",,,./0558275-biographie-de-andre-messager.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/messager-andre/Andre-Messager-(-photographie-de-presse-Agence-Meurisse-)©Gallica-BnF_LQ.jpg,André Messager (photographie de presse Agence Meurisse) © Gallica - BnF,1853-1929
